SMILES,XLogP,nAtomP,nAtomLAC,ALogp2,AMR,nAtom,nHBDon,nB,ALogP,naAromAtom,nRotB,nAromBond,nAtomLC,LipinskiFailures,MLogP
InChI%3D1S%2FC6H6N2O3%2Fc7-5-2-1-4%288%2810%2911%293-6%285%299%2Fh1-3%2C9H%2C7H2,1.11899995803833,11.0,0.0,1.57954621315002,9.67249965667725,17.0,,11.0,-1.25680005550385,6.0,1.0,6.0,3.0,0.0,1.57000005245209
InChI%3D1S%2FC20H14N2O7S2%2Fc23-20-15-8-4-3-7-14%2815%2919%2831%2827%2C28%2929%2911-17%2820%2922-21-16-9-10-18%2830%2824%2C25%2926%2913-6-2-1-5-12%2813%2916%2Fh1-11%2C23H%2C%28H%2C24%2C25%2C26%29%28H%2C27%2C28%2C29%29%2Fp-2,4.20300006866455,13.0,3.0,7.0341649055481,89.9761962890625,40.0,,23.0,2.6521999835968,6.0,4.0,6.0,4.0,0.0,2.33999991416931
InChI%3D1S%2FC2H3Cl3%2Fc3-1-2%284%295%2Fh2H%2C1H2,2.15799999237061,0.0,2.0,3.8239803314209,25.7096996307373,8.0,0.0,4.0,1.95550000667572,0.0,1.0,0.0,5.0,0.0,1.35000002384186
InChI%3D1S%2FC6H12N2%2Fc1-3-5-8%287%296-4-2%2Fh3-4H%2C1-2%2C5-7H2,-0.155000001192093,2.0,3.0,0.732564806938171,37.9009017944336,20.0,1.0,7.0,0.85589998960495,0.0,4.0,0.0,8.0,0.0,1.89999997615814
InChI%3D1S%2FC16H11N3O6%2Fc1-18-8-12%2816%2821%2922%2914%2820%2911-6-3-9%2817-15%2811%2918%292-4-10-5-7-13%2825-10%2919%2823%2924%2Fh2-8H%2C1H3%2C%28H%2C21%2C22%29,3.65000009536743,6.0,4.0,2.48629832267761,60.6614990234375,34.0,,14.0,1.57679998874664,0.0,2.0,0.0,5.0,0.0,2.77999997138977
InChI%3D1S%2FC9H9N5%2Fc10-8-12-7%2813-9%2811%2914-8%296-4-2-1-3-5-6%2Fh1-5H%2C%28H4%2C10%2C11%2C12%2C13%2C14%29,1.817999958992,14.0,0.0,0.462264001369476,53.1337013244629,23.0,,15.0,0.679899990558624,6.0,1.0,6.0,0.0,0.0,1.89999997615814
InChI%3D1S%2FC5H8O2%2Fc1-5%282%293-7-4%285%296%2Fh3H2%2C1-2H3,2.98799991607666,2.0,2.0,2.00958967208862,90.1719970703125,51.0,0.0,26.0,1.41760003566742,0.0,0.0,0.0,2.0,0.0,3.54999995231628
InChI%3D1S%2FC14H12FNO%2Fc1-10%2817%2916-14-8-4-12%285-9-14%2911-2-6-13%2815%297-3-11%2Fh2-9H%2C1H3%2C%28H%2C16%2C17%29,4.97399997711182,15.0,2.0,0.166464000940323,14.7733001708984,29.0,,18.0,0.407999992370605,12.0,2.0,12.0,4.0,0.0,2.67000007629395
InChI%3D1S%2FC5H10N2O%2Fc8-6-7-4-2-1-3-5-7%2Fh1-5H2,0.558000028133392,7.0,2.0,0.133517161011696,43.8916015625,20.0,0.0,10.0,0.365399986505508,6.0,3.0,6.0,4.0,0.0,2.11999988555908
InChI%3D1S%2FC4H10N2O2%2Fc1-6%285-8%293-2-4-7%2Fh7H%2C2-4H2%2C1H3,3.43099999427795,4.0,2.0,0.196160405874252,143.097305297852,85.0,1.0,43.0,0.442900002002716,0.0,1.0,0.0,2.0,0.0,4.21000003814697
