SMILES,nRotB,XLogP,nAtomLAC,AMR,nHBDon,nAtomP,ALogp2,naAromAtom,nAtomLC,nAtom,nB,MLogP,nAromBond,ALogP,LipinskiFailures
InChI%3D1S%2FC10H16%2Fc1-7-2-9-4-8%281%295-10%283-7%296-9%2Fh7-10H%2C1-6H2,0.0,4.76599979400635,0.0,40.4035987854004,0.0,0.0,0.722500026226044,0.0,0.0,26.0,12.0,2.55999994277954,0.0,-0.850000023841858,0.0
InChI%3D1S%2FC6H4Cl2%2Fc7-5-2-1-3-6%288%294-5%2Fh1-4H,0.0,1.97000002861023,0.0,,,6.0,,6.0,0.0,12.0,8.0,1.89999997615814,6.0,,0.0
InChI%3D1S%2FC13H10O2%2Fc14-10-11-6-8-13%289-7-11%2915-12-4-2-1-3-5-12%2Fh1-10H,3.0,1.56599998474121,0.0,,,15.0,,12.0,2.0,25.0,16.0,2.67000007629395,12.0,1.37109994888306,0.0
InChI%3D1S%2FC11H17O3P%2Fc1-3-13-15%2812%2C14-4-2%2910-11-8-6-5-7-9-11%2Fh5-9H%2C3-4%2C10H2%2C1-2H3,6.0,1.45899999141693,2.0,,,6.0,,6.0,9.0,32.0,15.0,2.23000001907349,6.0,,0.0
InChI%3D1S%2FC6H12O%2Fc1-3-4-6%282%295-7%2Fh5-6H%2C3-4H2%2C1-2H3,3.0,2.01799988746643,5.0,28.9101009368896,0.0,1.0,0.0147136896848679,0.0,7.0,19.0,6.0,2.00999999046326,0.0,0.121299996972084,0.0
InChI%3D1S%2FC6H4N2O5%2Fc9-6-2-1-4%287%2810%2911%293-5%286%298%2812%2913%2Fh1-3%2C9H,2.0,,0.0,,,13.0,,6.0,2.0,17.0,13.0,1.35000002384186,6.0,,0.0
InChI%3D1S%2FC8H9NO2%2Fc1-6%2810%299-7-4-2-3-5-8%287%2911%2Fh2-5%2C11H%2C1H3%2C%28H%2C9%2C10%29,1.0,1.66600000858307,2.0,,,10.0,,6.0,4.0,20.0,11.0,2.00999999046326,6.0,,0.0
InChI%3D1S%2FC9H12O2%2Fc1-7-8%2810-2%295-4-6-9%287%2911-3%2Fh4-6H%2C1-3H3,2.0,1.47699999809265,0.0,,,8.0,,6.0,2.0,23.0,11.0,2.23000001907349,6.0,0.85259997844696,0.0
InChI%3D1S%2FC7H5ClO2%2Fc8-6-1-2-7%2810%295%283-6%294-9%2Fh1-4%2C10H,1.0,1.35500001907349,0.0,,,9.0,,6.0,2.0,15.0,10.0,1.89999997615814,6.0,,0.0
InChI%3D1S%2FC3H4O%2Fc1-2-3-4%2Fh1%2C4H%2C3H2,0.0,-0.231000006198883,3.0,15.0410003662109,1.0,2.0,0.0999824404716492,0.0,4.0,8.0,3.0,1.67999994754791,0.0,0.316199988126755,0.0
