SMILES,nAromBond,nAtomLC,ALogp2,nAtom,MLogP,nAtomP,nAtomLAC,LipinskiFailures,XLogP,nHBDon,ALogP,nB,nRotB,AMR,naAromAtom
InChI%3D1S%2FC15H15ClF3N3O%2Fc1-2-7-23-9-14%2822-6-5-20-10-22%2921-13-4-3-11%2816%298-12%2813%2915%2817%2C18%2919%2Fh3-6%2C8%2C10H%2C2%2C7%2C9H2%2C1H3,11.0,7.0,0.606062233448029,38.0,2.23000001907349,9.0,3.0,0.0,4.90399980545044,,0.784799993038177,24.0,7.0,85.5746994018555,6.0
InChI%3D1S%2FC8Cl4N2%2Fc9-5-3%281-13%296%2810%298%2812%297%2811%294%285%292-14,6.0,3.0,4.60102510452271,16.0,1.89999997615814,8.0,0.0,0.0,1.54799997806549,,2.14499998092651,12.0,1.0,41.1487998962402,6.0
InChI%3D1S%2FC12H11N%2Fc1-3-7-11%288-4-1%2913-12-9-5-2-6-10-12%2Fh1-10%2C13H,6.0,2.0,18.1254539489746,18.0,1.89999997615814,6.0,0.0,0.0,4.25400018692017,,4.25740003585815,12.0,2.0,70.5457992553711,6.0
InChI%3D1S%2FC9H10ClN5O2%2Fc10-8-2-1-7%285-12-8%296-14-4-3-11-9%2814%2913-15%2816%2917%2Fh1-2%2C5H%2C3-4%2C6H2%2C%28H%2C11%2C13%29,12.0,13.0,0.685087263584137,71.0,3.76999998092651,8.0,6.0,1.0,4.03299999237061,,0.827700018882751,34.0,13.0,139.38020324707,12.0
InChI%3D1S%2FC9H13ClN2O2%2Fc1-5-6%2810%297%2813%2912%288%2814%2911-5%299%282%2C3%294%2Fh1-4H3%2C%28H%2C11%2C14%29,6.0,3.0,,16.0,2.00999999046326,8.0,2.0,0.0,-0.24600000679493,,-0.73089998960495,9.0,1.0,,6.0
InChI%3D1S%2FC19H24O3%2Fc1-7-8-13-12%284%2916%2810-15%2813%2920%2922-18%2821%2917-14%289-11%282%293%2919%2817%2C5%296%2Fh1%2C9%2C14%2C16-17H%2C8%2C10H2%2C2-6H3,12.0,6.0,5.01177787780762,53.0,3.22000002861023,6.0,2.0,0.0,0.800000011920929,0.0,2.2386999130249,28.0,8.0,115.262802124023,12.0
InChI%3D1S%2FC13H16F3N3O4%2Fc1-3-5-6-17%284-2%2912-10%2818%2820%2921%297-9%2813%2814%2C15%2916%298-11%2812%2919%2822%2923%2Fh7-8H%2C3-6H2%2C1-2H3,6.0,7.0,,39.0,1.78999996185303,13.0,4.0,0.0,,,,23.0,8.0,,6.0
InChI%3D1S%2FC18H12Cl2N2O%2Fc19-13-9-7-12%288-10-13%2914-4-1-2-6-16%2814%2922-18%2823%2915-5-3-11-21-17%2815%2920%2Fh1-11H%2C%28H%2C22%2C23%29,18.0,3.0,11.221830368042,35.0,2.89000010490417,21.0,0.0,0.0,2.57299995422363,,3.34990000724792,25.0,3.0,103.061798095703,18.0
InChI%3D1S%2FC21H16ClFN4O5%2Fc1-28-26-18%2821-27-30-11-10-29-21%2913-6-2-4-8-15%2813%2931-19-17%2823%2920%2825-12-24-19%2932-16-9-5-3-7-14%2816%2922%2Fh2-9%2C12H%2C10-11H2%2C1H3,6.0,9.0,4.06869220733643,40.0,2.00999999046326,11.0,2.0,0.0,3.07500004768372,,2.0171000957489,19.0,7.0,81.5680999755859,6.0
InChI%3D1S%2FC17H25NO2%2Fc1-3-5-6-11%284-2%2910-18-16%2819%2914-12-7-8-13%289-12%2915%2814%2917%2818%2920%2Fh7-8%2C11-15H%2C3-6%2C9-10H2%2C1-2H3,0.0,8.0,3.72490000724792,45.0,3.0,5.0,7.0,0.0,3.49300003051758,0.0,-1.92999994754791,22.0,6.0,72.9148025512695,0.0
