SMILES,LipinskiFailures,ALogp2,AMR,nAtomLC,nAtomP,nAtomLAC,nAtom,nAromBond,nHBDon,ALogP,naAromAtom,nB,MLogP,nRotB,XLogP
InChI%3D1S%2FC19H25NO%2Fc1-2-10-20-11-9-19-8-4-3-5-16%2819%2918%2820%2912-14-6-7-15%2821%2913-17%2814%2919%2Fh2%2C6-7%2C13%2C16%2C18%2C21H%2C1%2C3-5%2C8-12H2%2Ft16-%2C18-%2C19-%2Fm1%2Fs1,0.0,0.277412891387939,85.869499206543,3.0,7.0,3.0,46.0,6.0,,0.526700019836426,6.0,24.0,3.32999992370605,2.0,2.93499994277954
InChI%3D1S%2FC22H19ClO3%2Fc23-16-11-9-14%2810-12-16%2913-5-7-15%288-6-13%2919-20%2824%2917-3-1-2-4-18%2817%2921%2825%2922%2819%2926%2Fh1-4%2C9-13%2C15%2C26H%2C5-8H2,0.0,4.75414419174194,107.776298522949,0.0,13.0,0.0,45.0,12.0,,2.18039989471436,12.0,29.0,3.44000005722046,2.0,4.27299976348877
InChI%3D1S%2FC22H43N5O13%2Fc23-2-1-8%2829%2920%2836%2927-7-3-6%2825%2918%2839-22-16%2834%2915%2833%2913%2831%299%284-24%2937-22%2917%2835%2919%287%2940-21-14%2832%2911%2826%2912%2830%2910%285-28%2938-21%2Fh6-19%2C21-22%2C28-35H%2C1-5%2C23-26H2%2C%28H%2C27%2C36%29%2Ft6-%2C7%2B%2C8-%2C9%2B%2C10%2B%2C11-%2C12%2B%2C13%2B%2C14%2B%2C15-%2C16%2B%2C17-%2C18%2B%2C19%3F%2C21%3F%2C22%3F%2Fm0%2Fs1,2.0,73.6369934082031,126.074897766113,8.0,3.0,4.0,83.0,0.0,13.0,-8.58119964599609,0.0,42.0,1.89999997615814,10.0,-6.07800006866455
InChI%3D1S%2FC17H19N3%2Fc1-19-9-10-20-16%2812-19%2915-7-3-2-5-13%2815%2911-14-6-4-8-18-17%2814%2920%2Fh2-8%2C16H%2C9-12H2%2C1H3%2Ft16-%2Fm0%2Fs1,0.0,4.79566192626953,87.0775985717773,0.0,7.0,0.0,39.0,12.0,,2.18989992141724,12.0,23.0,3.0,0.0,1.25199997425079
InChI%3D1S%2FC18H23N2%2Fc1-4-15-8-6-10-17%2812-15%2919-14%283%2920-18-11-7-9-16%285-2%2913-18%2Fh6-13%2C19-20H%2C4-5H2%2C1-3H3%2Fb19-14%2B,0.0,2.78589487075806,92.950798034668,4.0,15.0,2.0,42.0,12.0,,1.66910004615784,12.0,21.0,3.22000002861023,,3.56800007820129
InChI%3D1S%2FC17H20N2S%2Fc1-13%2818%282%293%2912-19-14-8-4-6-10-16%2814%2920-17-11-7-5-9-15%2817%2919%2Fh4-11%2C13H%2C12H2%2C1-3H3%2Ft13-%2Fm0%2Fs1,0.0,3.43620371818542,98.2141036987305,6.0,13.0,3.0,40.0,12.0,,1.85370004177094,12.0,22.0,3.0,3.0,2.55100011825562
InChI%3D1S%2FC20H28N2O5%2Fc1-3-27-20%2826%2916%2812-11-15-8-5-4-6-9-15%2921-14%282%2918%2823%2922-13-7-10-17%2822%2919%2824%2925%2Fh4-6%2C8-9%2C14%2C16-17%2C21H%2C3%2C7%2C10-13H2%2C1-2H3%2C%28H%2C24%2C25%29%2Ft14-%2C16-%2C17-%2Fm0%2Fs1,1.0,1.07246732711792,98.158203125,13.0,6.0,4.0,55.0,6.0,,-1.03559994697571,6.0,28.0,2.89000010490417,11.0,2.125
InChI%3D1S%2FC5H9N4S%2Fc1-3-2-10-5%288-3%299-4%286%297%2Fh2%2C9H%2C6-7H2%2C1H3,0.0,0.13965168595314,44.234001159668,4.0,3.0,0.0,22.0,0.0,,-0.373699992895126,0.0,10.0,,2.0,-0.465999990701675
InChI%3D1S%2FC19H22F2N4O3%2Fc1-8-5-24%286-9%282%2923-8%2917-13%2820%2915%2822%2912-16%2814%2817%2921%2925%2810-3-4-10%297-11%2818%2812%2926%2919%2827%2928%2Fh7-10%2C23H%2C3-6%2C22H2%2C1-2H3%2C%28H%2C27%2C28%29%2Ft8-%2C9%2B,0.0,26.4771995544434,95.5753021240234,2.0,15.0,0.0,51.0,0.0,,-5.14559984207153,0.0,31.0,2.55999994277954,3.0,1.54100000858307
InChI%3D1S%2FC18H25Cl2N3O%2Fc1-21-8-9-23%2815%2812-21%2913-22-6-2-3-7-22%2918%2824%2911-14-4-5-16%2819%2917%2820%2910-14%2Fh4-5%2C10%2C15H%2C2-3%2C6-9%2C11-13H2%2C1H3%2Ft15-%2Fm1%2Fs1,0.0,0.841072380542755,100.145797729492,3.0,6.0,2.0,49.0,6.0,,0.917100012302399,6.0,26.0,2.77999997138977,5.0,1.32299995422363
